locationName,streetAddress,city,state,postalCode,phoneNumber,storeID
Crossroads,19710 Northwest Freeway (290),Houston,TX,77065,281-720-1000,1684
Downtown Crown,242 Crown Park Avenue,Gaithersburg,MD,20878,240-449-4879,1687
Flower Mound,2500 Cross Timbers Road,Flower Mound,TX,75028,469-240-5888,1694
Frisco,8008 State Hwy 121,Frisco,TX,75034,972-704-2000,1695
Grapevine,900 W. State Highway 114,Grapevine,TX,76051,817-251-0255,1696
Huebner Oaks,11745 Hwy. 10 West,San Antonio,TX,78230,210-691-1227,1699
Jefferson,7615 Jefferson Highway,Baton Rouge,LA,70809,225-927-6072,1700
Kingstowne,5876 Kingstowne Center,Alexandria,VA,22315,571-385-2455,1702
Kingwood,4570 Kingwood Drive,Kingwood,TX,77345,281-360-1681,1703
Lakeline,14028 N. US Hwy 183,Austin,TX,78717,512-410-7535,1704
Luhrs City Center,45 West Jefferson Street,Phoenix,AZ,85003,480-436-8152,1707
MacArthur,6430 North MacArthur Boulevard,Irving,TX,75039,469-385-1700,1708
Meyerland,4700 Beechnut,Houston,TX,77096,713-218-8075,1710
Midway,4343 W. Northwest Hwy,Dallas,TX,75220,214-357-5621,1711
Mockingbird,3072 Mockingbird Lane,Dallas,TX,75205,214-696-0800,1713
Mueller,1201  Barbara Jordan Boulevard,Austin,TX,78723,512-366-3825,1714
North Arlington,2101 N. Collins,Arlington ,TX,76011,817-461-3634,1715
Northpark,8687 N. Central Expressway,Dallas,TX,75225,214-696-2398,1716
Northwoods,18030 US Hwy 281 N,San Antonio,TX,78232,210-499-0208,1717
Overton Park,4626 SW Loop 820,Ft. Worth,TX,76109,817-717-5200,1718
Park North,722 NW Loop 410,San Antonio,TX,78216,210-979-9161,1719
Parkway Village,1560 Eldridge Parkway,Houston,TX,77077,281-940-8516,1720
Pearland,11200 Broadway Street,Pearland,TX,77584,832-916-3598,1721
Perkins Rowe,7707 Bluebonnet Boulevard,Baton Rouge,LA,70810,225-766-1875,1723
West Grand,23322 Mercantile Parkway,Katy,TX,77449,281-395-2888,1752
Woodlands,9595 Six Pines Drive,The Woodlands,TX,77380,281-419-5826,1753
Norman,1954 24th Avenue NW,Norman,OK,73069,405-416-1942,1748
